,position,company,city,compensation_min,compensation_max,compensation_currency
196,Data Scientist, JetBrains,"Москва, Белорусская",170000.0,,RUB
197,Старший аналитик/Data Scientist в продуктовую аналитику," Mail.Ru Group, E-commerce",Москва,,,
198,Data Scientist (клиентская аналитика),"ПАО МегаФон, Digital",Москва,,,
199,Инженер по обработке данных / Data Engineer, Сбербанк для руководителей,Москва,,,
200,Data Scientist, Сибур,Москва,,,
201,Аналитик данных (SQL), Сбербанк для экспертов,Санкт-Петербург,170000.0,,RUB
202,Программист-математик (инженер),ЗАО Градиент,Казань,,,
203,Аналитик-разработчик (Data Scientist),ООО Джой Колс Групп,Москва,,,
204,"Стажер/Специалист (Data Scientist, Группа улучшения бизнес-технологии и ИТ)", EY (Эрнст энд Янг),"Москва, Павелецкая",,,
205,ML-инженер / Data Scientist, Интерсвязь,Челябинск,35000.0,80000.0,RUB
206,Аналитик SQL / Data Scientist, АльфаСтрахование,"Москва, Шаболовская",,,
207,Data Scientist, OZON.ru Разработка,Москва,,,
208,Data Scientist/Математик-программист, Ай-Теко (I-Teco),Москва,,,
209,Data Scientist (gamedev), Panoramik,"Санкт-Петербург, Василеостровская и еще 1 ",,,
210,Эксперт аналитического центра / Data scientist, Сибирская генерирующая Компания УК,Новосибирск,100000.0,,RUB
211,Специалист по обработке и анализу данных (Data Scientist), ELMA,Киров,100000.0,,RUB
212,Junior Data scientist (Департамент внутреннего аудита)," «РОСБАНК, Societe Generale Group», с опытом работы","Москва, Комсомольская и еще 2 ",,,
213,Специалист по машинному обучению / Data Scientist (FinTech), Университет ИТМО,"Санкт-Петербург, Василеостровская",75000.0,,RUB
214,Data scientist, КОМПЛИТ,"Санкт-Петербург, Старая Деревня",,,
215,Data scientist (SAS), Сбербанк для экспертов,Москва,,,
216,Аналитик данных (Data Scientist),ООО Форпост,Москва,,,
217,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Екатеринбург,,,
218,Senior/Middle Data Scientist,"АО Ренессанс здоровье, Страховая компания","Москва, Пролетарская",,,
219,Разработчик-исследователь в области искусственного интеллекта / Data Scientist, Университет ИТМО,"Санкт-Петербург, Василеостровская",80000.0,,RUB
220,Data Scientist / Machine Learning Developer, Peller.Tech Inc,Москва,,,
221,Data Scientist (Middle), Сбербанк для экспертов,Екатеринбург,,,
222,Data Analyst / Scientist, Genesis,Киев,,,
223,Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
224,Python Data Scientist, Neuro.net,Нижний Новгород,100000.0,150000.0,RUB
225,"Programmatic Analyst, Data Scientist for Eastern Europe"," «Procter & Gamble», Молодой специалист",Москва,95000.0,,RUB
226,Data scientist \ аналитик данных," «Почта России», Офис","Москва, Нагатинская и еще 1 ",,,
227,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Санкт-Петербург,,,
228,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Иннополис,,,
229,Аналитик/Data Scientist, BORK,Москва,,,
230,Artificial Intelligence and Data Analytics Scientist, Aramco Innovations,"Москва, Ломоносовский проспект",,,
231,"Senior Data scientist (NLP, чат бот)", Сбербанк для экспертов,Москва,,,
232,Middle data scientist, oneFactor,Москва,,,
233,Data Scientist, МФИ Софт,Нижний Новгород,,,
234,Data Scientist / Machine Learning Engineer,ООО АЛИБАБА.КОМ (РУ),Москва,,,
235,Senior Data Scientist, Spice Agency,Москва,,,
236,Специалист по обработке и анализу данных (Data Scientist), ELMA,Ижевск,100000.0,,RUB
237,Data Scientist,ТОО Business and Technology Services,Нур-Султан,,,
238,Преподаватель курса Анализ данных на Python, Nordic IT School,"Москва, Комсомольская и еще 2 ",,,
239,Data Scientist, Align Technology,"Москва, Тульская",,,
240,Data Scientist,АО Фармасинтез,Москва,100000.0,,RUB
241,Data scientist, Сбербанк для экспертов,Екатеринбург,,,
242,Data scientist (Нижний Новгород), ANCOR FinTech,Краснодар,,,
243,Data Scientist (Marketing Research & Analytics), JetBrains,"Санкт-Петербург, Новокрестовская и еще 1 ",,,
244,Junior Data Scientist," EPAM Systems, Inc.",Нижний Новгород,,,
245,Data scientist, Авито,Москва,,,
246,Data Scientist,ООО Расберри Ру,Нижний Новгород,,,
247,Senior Nutrition Scientist (Russia & BUCCA),ООО PepsiCo,"Москва, Сокол",,,
248,Data scientist / quant analyst, Recruitment Boutique S.M.Art,Москва,,,
249,Senior Data Scientist, Сбербанк для экспертов,Екатеринбург,,,
250,Исследователь данных (Data Scientist), IBS,Санкт-Петербург,,,
251,Data Scientist (Старший аудитор), Сбербанк для экспертов,Москва,,,
252,Data Scientist/Аналитик Data Science, Social Discovery Ventures,"Москва, Динамо",,,
253,Python developer (Data Engineer), Admitad,"Москва, Дмитровская",,,
254,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Нижний Новгород,110000.0,150000.0,RUB
255,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Казань,110000.0,150000.0,RUB
256,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Краснодар,110000.0,150000.0,RUB
257,Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
258,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Новосибирск,110000.0,150000.0,RUB
259,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Москва,110000.0,150000.0,RUB
260,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Екатеринбург,110000.0,150000.0,RUB
261,Специалист по анализу данных (Data Scientist) г. Сочи, Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,Санкт-Петербург,110000.0,150000.0,RUB
262,Data scientist,ООО Специальный Технологический Центр,Санкт-Петербург,,,
263,Data Scientist, Сбербанк для экспертов,Пермь,,,
264,"Data scientist (ML разработчик, python)", Mindbox,"Москва, Белорусская и еще 1 ",140000.0,170000.0,RUB
265,Data scientist,ООО Тувэтрейд Технолоджи,"Москва, Новокузнецкая",,,
266,Data Scientist, Кадровое Агентство Уникальных Специалистов,"Москва, Технопарк",150000.0,,RUB
267,Data Scientist( NLP), Сбербанк для экспертов,Москва,,,
268,Data engineer, Lamoda,Москва,,,
269,Исследователь в области машинного обучения и анализа данных, Университет ИТМО,"Санкт-Петербург, Василеостровская",100000.0,,RUB
270,Geo and Petrophysical Instrumentation Scientist, Aramco Innovations,"Москва, Ломоносовский проспект",,,
271,Senior Data Scientist в NLP лабораторию СКБ Контур, СКБ Контур,Москва,,,
272,Ведущий исследователь данных (NLP), Сбербанк для экспертов,Москва,,,
273,Ведущий data scientist, Деловые Линии,"Санкт-Петербург, Звёздная и еще 2 ",,,
274,"Data scientist (ML-разработчик, python)", Star-staff,"Москва, Савеловская",150000.0,,RUB
275,Junior Data Scientist (математик-программист), Nicotech International,"Москва, Свиблово",,,
276,Data scientist,"ПАО МегаФон, IT",Екатеринбург,,,
277,Data Scientist, Сбербанк для экспертов,Санкт-Петербург,,,
278,Senior Data Scientist,АО Рамакс Интернейшнл,"Москва, Павелецкая и еще 2 ",,,
279,Специалист по машинному обучению/Data Scientist (NLP), Университет ИТМО,"Санкт-Петербург, Василеостровская",,,
280,Data Scientist/Data Statistician,АО Citibank,Москва,,,
281,"Data Scientist, Voice Recognition (Маруся)"," Mail.Ru Group, Другое",Москва,,,
282,R&D Senior Scientist (Discovery & Applications),ООО PepsiCo,"Москва, Сокол",,,
283,Data Scientist (Дивизион `Забота о клиентах` ), Сбербанк для экспертов,Москва,,,
284,Senior Data Scientist, Леруа Мерлен. Центральный офис,"Москва, Шаболовская",,,
285,Data Scientist отдела аудита информационных технологий, Сбербанк для экспертов,Санкт-Петербург,,,
286,Исследователь данных (Data Scientist), IBS,Нижний Новгород,,,
287,Data Scientist,ООО Агентство ПРОФИ,Сочи,150000.0,,RUB
288,Data Scientist в проект CRM, Okko,"Санкт-Петербург, Беговая",,,
289,Data Engineer, Туту.ру,"Москва, Нагатинская",150000.0,,RUB
290,Руководитель направления по исследованию данных(Data Scientist), Сбербанк для экспертов,Москва,,,
291,Middle / Senior Data Scientist," ОТП Банк, АО (OTP bank)",Москва,180000.0,210000.0,RUB
292,Data Science, Сбербанк для экспертов,Москва,,,
293,ML Engineer/Data scientist, Samsung Research Center,"Москва, Савеловская",,,
294,Аналитик (Data Scientist),ПАО «МТС» ,Екатеринбург,,,
295,Product Data Analyst, Miro (экс-RealtimeBoard),Пермь,,,
296,Data Scientist (Python/R), McKinsey & Company,"Москва, Белорусская",,,
297,Стажер - Data Scientist, Сибур,Москва,,,
298,Data scientist (управление благосостоянием), Сбербанк для экспертов,Москва,,,
299,Data Scientist, ANCOR FinTech,Екатеринбург,,,
300,Senior Data Scientist (компьютерное зрение), Тинькофф,"Москва, Водный стадион",,,
301,Аналитик данных (Data Analyst/Data Scientist),ООО СтандартПроект,"Москва, Менделеевская и еще 3 ",,,
302,Скоринг-аналитик / Data scientist /Аналитик (скоринг), Займ-Экспресс,"Москва, Краснопресненская и еще 1 ",,,
303,Data Scientist (NLP), Платформа ОФД,"Москва, Спортивная и еще 1 ",250000.0,,RUB
304,Medical Advisor (temporary contract), Pfizer,Москва,,,
305,Аналитик / Data scientist, Dentsu Aegis Network Russia,"Москва, Улица 1905 года",,,
306,Data Scientist (FinTech),"ПАО «МТС»,IT",Москва,,,
307,Junior / Middle Data Analyst," FOZZY GROUP, Корпорация",Киев,,,
308,Big Data Engineer, Saber Interactive,Санкт-Петербург,,,
309,Специалист Oracle PL/SQL,ООО ГЕТСИЭРЭМ,"Москва, Римская и еще 1 ",160000.0,200000.0,RUB
310,Applied Data Scientist (Innovation), T-Systems RUS,"Санкт-Петербург, Василеостровская",,,
311,Ведущий Аналитик / Lead Analyst, Photo Lab,"Москва, Тверская и еще 2 ",,,
312,Data Scientist / Специалист машинного обучения, Инфосистемы Джет,Москва,,,
313,Data Engineer - Офис," АШАН, Сеть Гипермаркетов","Москва, Красносельская",,,
314,Начинающий специалист по Data Scientist (аналитик больших данных), 1C-Рарус,"Новосибирск, Маршала Покрышкина",25000.0,,RUB
315,Data Engineer, ЦИАН ГРУПП,"Москва, Преображенская площадь",,,
316,Data Scientist, Segmento,"Санкт-Петербург, Василеостровская",,,
317,Аналитик данных," Командор, сеть супермаркетов",Красноярск,50000.0,,RUB
318,Data Scientist / Аналитик данных, Медиалогия,"Москва, Дмитровская",,,
319,Data Scientist / Data Engineer, WorldQuant,Санкт-Петербург,,,
320,Data Scientist / Специалист машинного обучения, Инфосистемы Джет,Санкт-Петербург,,,
321,Data Scientist," Wargaming, Minsk (Game Stream)","Минск, Могилевская",,,
322,Senior Data scientist, QIWI,"Москва, Чертановская",,,
323,Senior Data Scientist, Miro (экс-RealtimeBoard),Пермь,,,
324,Data analyst/Data Scientist, Сбербанк для экспертов,Москва,,,
325,Data Scientist (Computer vision), Star-staff,Москва,,,
326,Senior Big Data инженер," Лента, федеральная розничная сеть, IT ",Санкт-Петербург,,,
327,Data Scientist for AntiFraud, Райффайзенбанк,Москва,,,
328,"Аналитик-разработчик (Data Scientist, Big Data)", Тинькофф,"Москва, Водный стадион",,,
329,Data Scientist, ANCOR FinTech,Москва,,,
330,Middle Data Scientist/Middle Python Developer, The Skolkovo Institute of Science and Technology,Москва,,,
331,Senior Data Scientist, Grid Dynamics,"Санкт-Петербург, Горьковская",,,
332,Data scientist (SAS), Diamond Personnel R&C,Москва,,,
333,Data Scientist, EY (Эрнст энд Янг),Москва,,,
334,Data Scientist в R&D центр (анализ текстов), ГК «ВИЗАВИ Консалт»,Сочи,110000.0,130000.0,RUB
335,Data scientist, МСП Банк,Москва,,,
336,Senior Backend Developer/Data Scientist в Команду Performance Advertising, ВКонтакте,Москва,,,
337,Бизнес-аналитик/Data Scientist, Компания ЛБР,"Минск, Академия наук",,,
338,Data Scientist (голосовые технологии), Тинькофф,Новосибирск,,,
339,Аналитик/Data Scientist, Сбербанк для экспертов,Москва,,,
340,Data Scientist, NOVARDIS,Санкт-Петербург,,,
341,Data engineer (Big Data team), DINO Systems,Санкт-Петербург,,,
342,Data Scientist (специалист по предиктивной аналитике),ООО Интеллектика,Ростов-на-Дону,,,
343,Руководитель направления по анализу данных (Data scientist), Сбербанк для экспертов,Москва,,,
344,Go-To-Market Data Analyst, Miro (экс-RealtimeBoard),Пермь,,,
345,Deep Learning/Computer Vision Engineer, ISS,Москва,,,
346,Senior Data Scientist, Самокат (ООО Умное пространство),"Санкт-Петербург, Петроградская",,,
347,Data scientist (Нижний Новгород), ANCOR FinTech,Новосибирск,,,
348,Data scientist (платформа рекомендательных систем), Сбербанк для экспертов,Москва,,,
349,Senior Data Scientist/Team Lead (anti-fraud), ЦИАН ГРУПП,"Москва, Преображенская площадь",,,
350,ML Engineer/ Data Scientist," «РОСБАНК, Societe Generale Group», с опытом работы","Москва, Комсомольская и еще 2 ",,,
351,Data Scientist, Сбербанк для экспертов,Москва,,,
352,"Data Scientist в R&D центр (временные ряды, классические методы машинного обучения)", ГК «ВИЗАВИ Консалт»,Сочи,110000.0,130000.0,RUB
353,Data Scientist в R&D центр в Сочи (анализ текстов), ГК «ВИЗАВИ Консалт»,Москва,110000.0,130000.0,RUB
354,Data Scientist (myTracker)," Mail.Ru Group, Решения для бизнеса","Москва, Аэропорт",,,
355,Data Scientist, Леруа Мерлен. Центральный офис,Москва,,,
356,Senior Data scientist, Сбербанк для экспертов,Москва,,,
357,Senior Data Scientist (Ценообразование), Сбербанк для экспертов,Санкт-Петербург,,,
358,Data scientist intern, Publicis Groupe,"Москва, Белорусская",,,
359,Python Developer/Data Scientist for a Swiss Startup, Assaia International AG,Санкт-Петербург,2000.0,3600.0,RUB
360,Senior Go-to-Market Data Analyst, Miro (экс-RealtimeBoard),Пермь,,,
361,Аналитик скоринга / Data Scientist, МигКредит,"Москва, Молодежная",80000.0,,RUB
362,BI Analyst/Аналитик Данных, Click,"Санкт-Петербург, Петроградская",,,
363,Data Scientist, Сибур,Нижний Новгород,,,
364,Senior Data Scientist (Команда знаний), Сбербанк для экспертов,Санкт-Петербург,,,
365,"Data Scientist в R&D центр в Сочи (временные ряды, классические методы машинного обучения)", ГК «ВИЗАВИ Консалт»,Москва,110000.0,130000.0,RUB
366,Data scientist, Сибур,Томск,,,
367,Senior Data Scientist, ЛАНИТ-ТЕХНОЛОГИИ,Москва,,,
368,R&D Analyst/Data scientist, IPONWEB Ltd (UK),Москва,,,
369,Data Scientist, Северсталь. Управляющая компания,"Москва, Войковская",,,
370,Data Scientist (анализ контента), i-FREE,Санкт-Петербург,,,
371,Data Scientist sas SberNBA Кредитные карты, Сбербанк для экспертов,Москва,,,
372,Senior Backend Developer/Data Scientist в Команду Performance Advertising, ВКонтакте,Санкт-Петербург,,,
373,Senior Data Science Engineer, Wrike,Санкт-Петербург,,,
374,Data Scientist," МАГНИТ, Розничная сеть",Москва,,,
375,Ведущий аналитик данных (Senior Data Scientist),ООО Гудфокаст,"Москва, Калужская",,,
376,Data Scientist, JetBrains,"Москва, Белорусская",170000.0,,RUB
377,Старший аналитик/Data Scientist в продуктовую аналитику," Mail.Ru Group, E-commerce",Москва,,,
378,Data Scientist (клиентская аналитика),"ПАО МегаФон, Digital",Москва,,,
379,Инженер по обработке данных / Data Engineer, Сбербанк для руководителей,Москва,,,
380,Data Scientist, Сибур,Москва,,,
381,Аналитик данных (SQL), Сбербанк для экспертов,Санкт-Петербург,170000.0,,RUB
382,Программист-математик (инженер),ЗАО Градиент,Казань,,,
383,Аналитик-разработчик (Data Scientist),ООО Джой Колс Групп,Москва,,,
384,"Стажер/Специалист (Data Scientist, Группа улучшения бизнес-технологии и ИТ)", EY (Эрнст энд Янг),"Москва, Павелецкая",,,
385,ML-инженер / Data Scientist, Интерсвязь,Челябинск,35000.0,80000.0,RUB
386,Аналитик SQL / Data Scientist, АльфаСтрахование,"Москва, Шаболовская",,,
387,Data Scientist, OZON.ru Разработка,Москва,,,
